Class,Dice_Mean,Dice_Std,IoU_Mean,IoU_Std,Accuracy
0,0.9766767,0.028136358,0.955715,0.04752459,0.97992307
1,0.14178957,0.32950908,0.13059837,0.30684584,0.1405251
2,0.23172455,0.40110677,0.21702603,0.3798218,0.23055471
3,0.119329266,0.29738763,0.10620573,0.27153736,0.12556897
4,0.10880184,0.27979693,0.094603546,0.25194252,0.11832943
5,0.09982648,0.26784348,0.08614291,0.23965932,0.10160456
6,0.1319548,0.3084975,0.116381116,0.2780426,0.14039817
7,0.15563267,0.3370517,0.14095761,0.31051418,0.15611361
8,0.3072734,0.43721423,0.28826815,0.41395253,0.30214405
