Convergence Epoch,Total Training Time (hours),Total Training Time (second),Average Epoch Time(s),Average RAM (GB),Average GPU Memory (GB),Energy Consumed (kWh),CO2 Emissions (kg)
18,13.124515985780292,47248.25754880905,2624.9031971560585,1.2462050120035808,0.3732213973999023,,
18,14.929545332988104,53746.36319875717,2985.9090665976205,1.148154576619466,0.3727602428860134,,
17,13.1870506276687,47473.38225960732,2792.55189762396,1.2487813164206112,0.3727618385763729,,
19,14.559868958923552,52415.52825212479,2758.7120132697255,1.2545009412263568,0.37275881516306025,,
